,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history
938,toyota yaris,61023677,Toyota,Yaris,White,,,Cloth interior,Hatchback,4/5 doors,5,VNKKD3D390A386504,Hybrid,Automatic,4x2,74 kW,,96 g/km,,,,,,,147 687 km,1/2017,Used,4.2 l/100km (combined),10899,EUR,Automatic A/C; Rain sensor; Lane assist; Front collision warning system; Predictive emergency braking system (PEBS); Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Alarm; Front electric windows,1 497 ccm,,,,,,,,,,,,
939,volkswagen id.5,61023680,Volkswagen,ID.5,Black,Metallic,,,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x4,221 kW,,0 g/km,,,,,,,0 km,1/2023,,,53299,EUR,Adaptive cruise control; Voice control; Heated steering wheel; Automatic 2-zones air conditioning; Rain sensor; Front collision warning system; Alarm; Fatigue warning system,,,,,,,,,,,,,
940,bmw m235,61023676,BMW,M235,Black,Metallic,Black interior,Full leather interior,Sedans / saloons,2/3 doors,5,not published by the seller,Petrol,Automatic,4x4,225 kW,,151 g/km,Euro 6,,,,,,25 449 km,7/2022,Used,6.3 l/100km (combined),46749,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Heated front seats; Head-up display; Apple CarPlay; Android auto; WLAN/Wifi hotspot,2 000 ccm,,,,,,,,,,,,
941,cupra formentor,61023682,Cupra,Formentor,Grey,,,Cloth interior,SUV / offroad,4/5 doors,,VSSZZZKM0RR045917,Petrol,Automatic,4x2,110 kW,,126 g/km,,,,,,,5 km,1/2023,New,5.5 l/100km (combined),37449,EUR,Parking assist system self-steering; LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Paddle shifters; Sport front seats,1 498 ccm,,,,,,,,,,,,
942,subaru solterra,61023672,Subaru,Solterra,Grey,Metallic,Black interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,160 kW,,0 g/km,No emission class,,,,,,13 500 km,11/2022,Used,0 kWh/100km (combined),48849,EUR,Keyless entry; Electric adjustable front seats; Heated front seats; Android auto; Keyless ignition; Panoramic roof; Navigation system; Heated steering wheel; Paddle shifters; Traffic sign recognition,,,,,,,,,2035,,,,
943,volkswagen golf,61023678,Volkswagen,Golf,Silver,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,,99 g/km,Euro 6,,,,,,55 790 km,10/2020,,3.8 l/100km (combined); 3.8 l/100km (city); 3.1 l/100km ,21499,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Smartphone mirroring; Apple CarPlay; Android auto,1 968 ccm,,1,,,,,,,,,,
944,hyundai santa-fe,61023683,Hyundai,Santa Fe,Black,Metallic,Grey interior,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,169 kW,,132 g/km,Euro 6,,,,,,10 km,8/2023,Demonstration car,5.8 l/100km (combined); 6.2 l/100km (city); 6 l/100km ,58499,EUR,Ventilated front seats; Heated rear seats; Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Head-up display; Apple CarPlay,1 598 ccm,,1,,,,,,,,,,
945,citroen c3,61023673,Citroen,C3,Blue,Metallic,Other interior color,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,61 kW,,100 g/km,Euro 6,,,,,,5 000 km,3/2023,Used,5.5 l/100km (combined),18649,EUR,LED headlights; Apple CarPlay; Android auto; Navigation system; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist; Front collision warning system,1 199 ccm,,,,,,,,1055,,,,
946,renault megane,61023679,Renault,Megane,Grey,Metallic,Other interior color,Cloth interior,Sedans / saloons,,5,not published by the seller,Electric,Automatic,4x2,96 kW,,0 g/km,No emission class,,,,,,9 900 km,5/2023,Demonstration car,16.2 l/100km (combined),51099,EUR,LED headlights; Digital cockpit; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Heated steering wheel; Paddle shifters,,,1,,,,,,,,,,
947,mercedes-benz gle-350,61023652,Mercedes-Benz,GLE 350,White,,,,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x4,235 kW,,0 g/km,Euro 6,,,,,,16 900 km,7/2022,,,95949,EUR,Air suspension; Parking assist system self-steering; LED headlights; Adaptive cruise control; Burmester audio; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition,1 950 ccm,,,,,,,,,,,,
948,hyundai ix35,61023647,Hyundai,ix35,Red,,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,99 kW,,158 g/km,Euro 5,,,,,,165 400 km,4/2013,,6.8 l/100km (combined); 8.2 l/100km (city); 6 l/100km ,10899,EUR,Voice control; Bluetooth; Xenon headlights; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel; On-board computer; Alarm; CD player,1 591 ccm,,3,,,,,,,,,,
949,ford puma,61023638,Ford,Puma,Grey,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,92 kW,,99 g/km,Euro 6d-TEMP,,,,,,0 km,9/2023,New,5.6 l/100km (combined),25049,EUR,LED headlights; Adaptive cruise control; Apple CarPlay; Android auto; Navigation system; Automatic A/C; Parking sensors; Leather steering wheel; Cornering lights; On-board computer,999 ccm,,,,,,,,1280,,,,
950,mercedes-benz gle-350,61023644,Mercedes-Benz,GLE 350,Black,,,,SUV / offroad,4/5 doors,,not published by the seller,Hybrid,Automatic,4x4,235 kW,,0 g/km,Euro 6,,,,,,33 700 km,11/2020,,,66749,EUR,Adaptive cruise control; Alarm,1 950 ccm,,,,,,,,,,,,
951,peugeot 2008,61023661,Peugeot,2008,Grey,,,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,81 kW,,111 g/km,Euro 6,,,,,,95 870 km,10/2019,Used,4.9 l/100km (combined),13899,EUR,Rear parking camera; Leather steering wheel,1 199 ccm,,1,,,,,12/2024,,,,,
952,volkswagen golf,61023658,Volkswagen,Golf,Grey,,Black interior,Velour interior,Hatchback,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,180 kW,85 kW,106 g/km,Euro 6d-TEMP,Lithium-ion (Li-ion),4 h,,,No,21 628 km,3/2021,Used,4.6 l/100km (combined),31299,EUR,LED headlights; Digital cockpit; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system; Heated steering wheel,1 395 ccm,,,110 kW,13 kWh,Plug-in hybrid,,,1524,,,,
953,tesla model-x,61023640,Tesla,Model X,Black,,,,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x4,750 kW,309 kW,0 g/km,,Lithium-ion (Li-ion),10 h,30 min,240000 km,No,3 548 km,6/2023,Used,,110499,EUR,Front seats with memory; Electric adjustable front seats; Heated front seats; Keyless ignition; Automatic multi-zone A/C; Voice control; Navigation system; Heated steering wheel; Parking cameras; Bluetooth,,,,,100 kWh,,,,,,,,
954,opel combo,61023655,Opel,Combo,Grey,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,125 g/km,Euro 6d,,,,,,22 900 km,12/2020,,5.4 l/100km (combined); 6 l/100km (city); 4.7 l/100km ,28049,EUR,Parking assist system self-steering; Heated front seats; Head-up display; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Sport front seats; Traffic sign recognition,1 199 ccm,,2,,,,,,,,,,
955,mercedes-benz b-200,61023649,Mercedes-Benz,B 200,White,Metallic,,,MPV,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,142 g/km,Euro 6,,,,,,34 642 km,9/2022,Used,5.4 l/100km (combined),39799,EUR,WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control; Navigation system; Parking cameras; Paddle shifters; Sport front seats; Traffic sign recognition; Sport-suspension system,1 950 ccm,,1,,,,,12/2025,,,,,
956,ford fiesta,61023645,Ford,Fiesta,White,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,74 kW,,112 g/km,Euro 6c,,,,,,77 869 km,1/2019,,4.9 l/100km (combined); 5.9 l/100km (city); 4.4 l/100km ,14799,EUR,Keyless entry; Bang & Olufsen audio; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Sport front seats,999 ccm,,2,,,,,,,,,,
957,volkswagen t6-multivan,61023668,Volkswagen,T6 Multivan,White,,Black interior,Cloth interior,MPV/VAN,4/5 doors,7,not published by the seller,Diesel,Automatic,4x2,110 kW,,168 g/km,Euro 6d,,,,,,23 000 km,8/2021,,6.4 l/100km (combined); 6.7 l/100km (city); 5.7 l/100km ,51749,EUR,Heated front seats; Integrated music streaming; Voice control; Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Parking sensors; Multifunctional steering wheel; Side mirrors with electic adjustment,1 968 ccm,,1,,,,,,,,,,
958,peugeot 3008,61023669,Peugeot,3008,Blue,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Diesel,Automatic,4x2,96 kW,,104 g/km,No emission class,,,,,,6 006 km,4/2023,Used,5.5 l/100km (combined),31899,EUR,Navigation system; Bluetooth; USB,1 500 ccm,,,,,,,,,Spain,,,
959,fiat fiorino,61023670,Fiat,Fiorino,White,,Other interior color,Other interior material,Cargo VAN,2/3 doors,2,not published by the seller,Diesel,Manual,4x2,59 kW,,138 g/km,Euro 6,,,,,,119 000 km,3/2019,,5.2 l/100km (combined); 6.3 l/100km (city); 4.7 l/100km ,11399,EUR,,1 248 ccm,,1,,,,,,,,,,
960,volkswagen t6-caravelle,61023653,Volkswagen,T6 Caravelle,White,,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,110 kW,,170 g/km,Euro 6d-TEMP,,,,,,63 835 km,7/2019,,6.5 l/100km (combined); 8.2 l/100km (city); 6.1 l/100km ,44649,EUR,Heated front seats; Navigation system; Heated steering wheel; Bluetooth; Automatic A/C; High beam assist; Light sensor; Hill-start assist; Parking sensors; Multifunctional steering wheel,1 968 ccm,,1,,,,,,,,,,
961,alfa-romeo giulia,61023650,Alfa Romeo,Giulia,,,Other interior color,Full leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,142 kW,,128 g/km,No emission class,,,,,,75 809 km,3/2021,Used,4.9 l/100km (combined),33049,EUR,Keyless entry; Harman/Kardon audio; WLAN/Wifi hotspot; Keyless ignition; Panoramic roof; Voice control; Automatic 2-zones air conditioning; Leather; Rain sensor; Light sensor,2 143 ccm,,,,,,,,,,,,
962,ford grand-c-max,61023659,Ford,Grand C-Max,Silver,Metallic,Black interior,Cloth interior,MPV,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,110 kW,,144 g/km,Euro 6,,,,,,51 700 km,3/2018,,6.3 l/100km (combined); 8.1 l/100km (city); 5.2 l/100km ,17949,EUR,Keyless entry; Heated front seats; Keyless ignition; Voice control; Navigation system; Bi-xenon headlights; Bluetooth; Adaptive lighting; Automatic A/C; Rain sensor,1 498 ccm,07/2025,2,,,,,,,,,,
963,peugeot 3008,61023646,Peugeot,3008,Black,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,96 kW,,106 g/km,Euro 6d-TEMP,,,,,,103 961 km,10/2019,Used,4.1 l/100km (combined); 4.1 l/100km (city); 4.1 l/100km ,16099,EUR,Digital cockpit; Apple CarPlay; Android auto; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor,1 499 ccm,,,,,,,,1417,,,,
964,dacia duster,61023635,Dacia,Duster,Grey,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,141 g/km,Euro 6d-TEMP,,,,,,10 km,5/2022,Used,6.2 l/100km (combined); 5.6 l/100km (city); 5.6 l/100km ,24049,EUR,Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Automatic A/C; Light sensor; Hill-start assist,1 332 ccm,,,,,,,,1264,,,,
965,ds-automobiles ds7,61023629,DS Automobiles,DS7,Grey,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,,35 g/km,Euro 6d-TEMP,,,,,,1 000 km,10/2023,Used,1.6 l/100km (combined); 1.6 l/100km (city); 1.6 l/100km ,51099,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Apple CarPlay; Android auto; Keyless ignition; Voice control,1 598 ccm,,,,,,,,1835,,,,
966,ford focus,61023626,Ford,Focus,Silver,,,Cloth interior,Station Wagon,4/5 doors,5,WF0PXXGCHPKE11656,Diesel,Automatic,4x2,88 kW,,117 g/km,,,,,,,108 194 km,1/2019,Used,4.7 l/100km (combined),15799,EUR,LED headlights; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Navigation system; Bluetooth; Automatic A/C; Lane assist,1 499 ccm,,,,,,,,,,,,
967,skoda superb,61023633,Skoda,Superb,White,,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,125 kW,,138 g/km,Euro 5,,,,,,128 203 km,3/2015,,5.2 l/100km (combined); 5.5 l/100km (city); 4.2 l/100km ,15849,EUR,Parking assist system self-steering; Electric adjustable front seats; Heated front seats; Navigation system; Paddle shifters; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Xenon headlights; Leather,1 968 ccm,,3,,,,,,,,,,
968,dacia spring,61023621,Dacia,Spring,Blue,Metallic,Black interior,Cloth interior,SUV / offroad,4/5 doors,4,not published by the seller,Electric,Automatic,4x2,33 kW,33 kW,0 g/km,Euro 6d-TEMP,Lithium-ion (Li-ion),8 h,55 min,120000 km,No,50 km,12/2022,Used,13.9 kWh/100km (combined),19749,EUR,LED headlights; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Bluetooth; Light sensor; Hill-start assist; Front collision warning system; Multifunctional steering wheel,,,,,27 kWh,,,,1045,Germany,,,
969,mercedes-benz cla-180,61023632,Mercedes-Benz,CLA 180,Black,Metallic,Grey interior,Part leather interior,Sedans / saloons,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,100 kW,,137 g/km,Euro 6,,,,,,28 328 km,9/2022,,6 l/100km (combined),33549,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Heated front seats; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Integrated music streaming; Voice control; Navigation system,1 332 ccm,09/2025,1,,,,,,,,,,
970,fiat 500,61023631,Fiat,500,,,Other interior color,Other interior material,Hatchback,2/3 doors,4,not published by the seller,Other fuel type,Manual,4x2,51 kW,,105 g/km,No emission class,,,,,,8 650 km,5/2023,Used,,16799,EUR,Voice control; Bluetooth; Hill-start assist; Multifunctional steering wheel; Daytime running lights; On-board computer; Start-stop system; USB; AUX,999 ccm,,,,,,,,,,,,
971,volkswagen passat,61023623,Volkswagen,Passat,White,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,176 kW,,150 g/km,Euro 6d-TEMP,,,,,,94 184 km,7/2019,,5.7 l/100km (combined); 6.7 l/100km (city); 5.1 l/100km ,31949,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Panoramic roof; Voice control; Navigation system,1 968 ccm,,2,,,,,,,,,,
972,volkswagen polo,61023619,Volkswagen,Polo,Red,Metallic,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,70 kW,,105 g/km,No emission class,,,,,,1 km,12/2023,,5.6 l/100km (combined),25249,EUR,,999 ccm,,,,,,,,1145,Spain,,,
973,renault clio,61023622,Renault,Clio,Black,Metallic,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,66 kW,,0 g/km,Euro 6d,,,,,,21 687 km,4/2023,Used,,20649,EUR,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,999 ccm,,,,,,,,1157,Germany,,,
974,audi q3,61023636,Audi,Q3,Orange,Metallic,Grey interior,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,110 kW,,135 g/km,Euro 6,,,,,No,4 711 km,12/2022,Used,6.5 l/100km (combined),40399,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control,1 498 ccm,12/2025,1,,,Mild hybrid,,,,,,,
975,opel crossland,61023611,Opel,Crossland,White,Metallic,Other interior color,Alcantara interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,112 g/km,Euro 6d-TEMP,,,,,,39 773 km,6/2022,,5 l/100km (combined); 5.9 l/100km (city); 4.5 l/100km ,20299,EUR,LED headlights; Keyless entry; Heated front seats; Head-up display; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system,1 199 ccm,,,,,,,,,,,,
976,volkswagen up!,61023616,Volkswagen,up!,Silver,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,85 kW,,110 g/km,Euro 6d-TEMP,,,,,,84 400 km,6/2019,,4.8 l/100km (combined); 6 l/100km (city); 4.1 l/100km ,16149,EUR,Heated front seats; Panoramic roof; Sport front seats; Bluetooth; Sport-suspension system; Automatic A/C; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel,999 ccm,,1,,,,,,,,,,
977,skoda kamiq,61023613,Skoda,Kamiq,,,Other interior color,Other interior material,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Manual,4x2,110 kW,,113 g/km,Euro 6,,,,,,1 km,9/2023,New,4.9 l/100km (combined),30549,EUR,LED headlights; Heated front seats; Keyless ignition; El. tailgate; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist,1 498 ccm,,,,,,,,,,,,
978,audi a6,61023617,Audi,A6,Black,Metallic,Black interior,Full leather interior,Station Wagon,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,195 kW,,159 g/km,Euro 6d,,,,,No,28 900 km,4/2023,Used,7 l/100km (combined),58699,EUR,LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Keyless ignition; Panoramic roof; Voice control; Navigation system,1 984 ccm,,1,,,Mild hybrid,,,,,,,
979,ford transit,61023612,Ford,Transit,White,,,,Cargo VAN,4/5 doors,6,not published by the seller,Diesel,Manual,4x2,77 kW,,162 g/km,Euro 6,,,,,,26 922 km,6/2019,Used,6.3 l/100km (combined),30449,EUR,Hill-start assist; Daytime running lights; On-board computer; Start-stop system; Front electric windows,1 995 ccm,,1,,,,,12/2024,,,,,
